Name,Type,Latitude,Logitude
1515,SingleHouse,7.685594098853715,7.685594098853715
1519,SingleHouse,7.686173663066489,7.686173663066489
1511,SingleHouse,7.686197774557764,7.686197774557764
1512,SingleHouse,7.687022598135561,7.687022598135561
1513,SingleHouse,7.686582542459265,7.686582542459265
1498,SingleHouse,7.685633880581756,7.685633880581756
1957,LightBuilding,7.6859097140306005,7.6859097140306005
1434,SingleHouse,7.686476577064161,7.686476577064161
1437,SingleHouse,7.685773447478397,7.685773447478397
1436,SingleHouse,7.68597429354153,7.68597429354153
1435,CollectiveHouse,7.686194661197704,7.686194661197704
1481,SingleHouse,7.685758657307583,7.685758657307583
1476,SingleHouse,7.685891122844742,7.685891122844742
1467,CollectiveHouse,7.685949803490014,7.685949803490014
1442,SingleHouse,7.685935697287045,7.685935697287045
1962,SingleHouse,7.685666835942771,7.685666835942771
1520,SingleHouse,7.686608537952483,7.686608537952483
1502,SingleHouse,7.687018192223535,7.687018192223535
1473,SingleHouse,7.687139117502623,7.687139117502623
1485,SingleHouse,7.6870250184600275,7.6870250184600275
1465,SingleHouse,7.68676155865028,7.68676155865028
1456,SingleHouse,7.687091676093461,7.687091676093461
1461,SingleHouse,7.687088606595227,7.687088606595227
1432,SingleHouse,7.686547205465952,7.686547205465952
1949,SingleHouse,7.687004652824901,7.687004652824901
1956,CollectiveHouse,7.686963485013868,7.686963485013868
1698,CommercialBuilding,7.685995083396568,7.685995083396568
1748,CommercialBuilding,7.6861767421249745,7.6861767421249745
1769,CommercialBuilding,7.68683083251315,7.68683083251315
1715,CommercialBuilding,7.686961341724029,7.686961341724029
1827,CommercialBuilding,7.683123820283287,7.683123820283287
1843,CommercialBuilding,7.682706497889693,7.682706497889693
1823,CommercialBuilding,7.681797443916709,7.681797443916709
1835,CommercialBuilding,7.681430372803883,7.681430372803883
1810,CommercialBuilding,7.6821598609768476,7.6821598609768476
1851,CommercialBuilding,7.681967187627461,7.681967187627461
1861,CommercialBuilding,7.682237816945727,7.682237816945727
1688,CommercialBuilding,7.686945963720167,7.686945963720167
1678,CommercialBuilding,7.686831071999639,7.686831071999639
1681,CommercialBuilding,7.686392113759286,7.686392113759286
1958,CommercialBuilding,7.686095303068748,7.686095303068748
1728,CommercialBuilding,7.685105468657405,7.685105468657405
1740,CommercialBuilding,7.684248109045242,7.684248109045242
1790,CommercialBuilding,7.684532249206994,7.684532249206994
1775,CommercialBuilding,7.6854800903476,7.6854800903476
1694,CollectiveHouse,7.675981004108018,7.675981004108018
1683,Garage,7.676145593449738,7.676145593449738
1646,SingleHouse,7.67769303895921,7.67769303895921
1655,SingleHouse,7.677633562645951,7.677633562645951
1686,SingleHouse,7.67746602164153,7.67746602164153
1947,CommercialBuilding,7.681098831250282,7.681098831250282
1946,CommercialBuilding,7.681930751102865,7.681930751102865
1774,SingleHouse,7.6806836885296095,7.6806836885296095
1736,SingleHouse,7.680821347631371,7.680821347631371
1701,CollectiveHouse,7.68216109497813,7.68216109497813
1703,CollectiveHouse,7.681854728738122,7.681854728738122
1784,SingleHouse,7.680217612321765,7.680217612321765
1693,CollectiveHouse,7.682453993294982,7.682453993294982
1702,Garage,7.6825788522885645,7.6825788522885645
1744,CollectiveHouse,7.681372160502967,7.681372160502967
1772,CollectiveHouse,7.681275523132847,7.681275523132847
1713,Garage,7.681771150936963,7.681771150936963
1508,CommercialBuilding,7.681948296305881,7.681948296305881
1548,CommercialBuilding,7.682183693789235,7.682183693789235
1556,CommercialBuilding,7.681834192214996,7.681834192214996
1665,CollectiveHouse,7.6817933300807795,7.6817933300807795
1649,CollectiveHouse,7.681830474751425,7.681830474751425
1538,Garage,7.68070924730342,7.68070924730342
1529,SingleHouse,7.68072419699611,7.68072419699611
1610,SingleHouse,7.682953697020527,7.682953697020527
1608,SingleHouse,7.682697067235468,7.682697067235468
1528,CollectiveHouse,7.682630779104305,7.682630779104305
1518,CollectiveHouse,7.6827458081645545,7.6827458081645545
1530,SingleHouse,7.680940065872666,7.680940065872666
1545,Garage,7.682838840862009,7.682838840862009
1570,CollectiveHouse,7.683065831689807,7.683065831689807
1583,Garage,7.683062230406885,7.683062230406885
1593,SingleHouse,7.682923582569162,7.682923582569162
1627,CollectiveHouse,7.681728688901367,7.681728688901367
1526,SingleHouse,7.6812518935241245,7.6812518935241245
1564,LightBuilding,7.682225669500992,7.682225669500992
1677,CollectiveHouse,7.681734262326655,7.681734262326655
1503,Garage,7.682216294286682,7.682216294286682
1495,CollectiveHouse,7.682291171045176,7.682291171045176
1955,CollectiveHouse,7.684026901891153,7.684026901891153
1576,SingleHouse,7.684381503749108,7.684381503749108
1602,SingleHouse,7.6842466863047205,7.6842466863047205
1505,SingleHouse,7.685180827920073,7.685180827920073
1552,SingleHouse,7.684584615529002,7.684584615529002
1546,SingleHouse,7.6843157264073465,7.6843157264073465
1643,SingleHouse,7.683862455525629,7.683862455525629
1568,SingleHouse,7.683874964867826,7.683874964867826
1525,SingleHouse,7.684890037652131,7.684890037652131
1494,SingleHouse,7.684955050472917,7.684955050472917
1452,SingleHouse,7.684710300442289,7.684710300442289
1463,SingleHouse,7.684977342177173,7.684977342177173
1479,SingleHouse,7.685096328457098,7.685096328457098
1446,SingleHouse,7.68475133500003,7.68475133500003
1444,SingleHouse,7.684517254852684,7.684517254852684
1459,SingleHouse,7.684977594348387,7.684977594348387
1454,SingleHouse,7.685266794206325,7.685266794206325
1475,SingleHouse,7.68546273456838,7.68546273456838
1441,SingleHouse,7.684958367542852,7.684958367542852
1447,CommercialBuildingSportive,7.685059919337803,7.685059919337803
1464,SingleHouse,7.6853375237465515,7.6853375237465515
1578,SingleHouse,7.683568842348558,7.683568842348558
1621,SingleHouse,7.683360585744714,7.683360585744714
1607,SingleHouse,7.6834524735557554,7.6834524735557554
1589,SingleHouse,7.684072806906329,7.684072806906329
1581,SingleHouse,7.683826802183407,7.683826802183407
1611,SingleHouse,7.683798185756936,7.683798185756936
1543,SingleHouse,7.684065793427365,7.684065793427365
1628,SingleHouse,7.683702613062375,7.683702613062375
1539,SingleHouse,7.68469168320784,7.68469168320784
1486,SingleHouse,7.685046445447007,7.685046445447007
1490,SingleHouse,7.685367305450311,7.685367305450311
1569,SingleHouse,7.683616625269768,7.683616625269768
1559,SingleHouse,7.683960073473054,7.683960073473054
1614,SingleHouse,7.684161576770189,7.684161576770189
1644,SingleHouse,7.68360644695596,7.68360644695596
1574,SingleHouse,7.684147780735861,7.684147780735861
1560,SingleHouse,7.68425090714053,7.68425090714053
1554,SingleHouse,7.6836969094307594,7.6836969094307594
1541,SingleHouse,7.68384036725376,7.68384036725376
1561,SingleHouse,7.6845325585917195,7.6845325585917195
1497,SingleHouse,7.685256011975641,7.685256011975641
1514,SingleHouse,7.685082099830507,7.685082099830507
1500,SingleHouse,7.684431092429054,7.684431092429054
1496,SingleHouse,7.6838542814729704,7.6838542814729704
1478,CollectiveHouse,7.682785447597594,7.682785447597594
1470,SingleHouse,7.6833969664188215,7.6833969664188215
1954,SingleHouse,7.683187863184739,7.683187863184739
1460,SingleHouse,7.683711855719192,7.683711855719192
1487,Garage,7.682881204450014,7.682881204450014
1491,CollectiveHouse,7.683194067728288,7.683194067728288
1472,SingleHouse,7.683969050756613,7.683969050756613
1477,SingleHouse,7.683513411098789,7.683513411098789
1469,SingleHouse,7.684184685613151,7.684184685613151
1448,SingleHouse,7.684318769614488,7.684318769614488
1474,SingleHouse,7.683753326163338,7.683753326163338
1453,SingleHouse,7.683997827717623,7.683997827717623
1482,Garage,7.682741304242095,7.682741304242095
1493,SingleHouse,7.683555675459471,7.683555675459471
1484,SingleHouse,7.683662238409632,7.683662238409632
1499,SingleHouse,7.684094433757006,7.684094433757006
1507,Garage,7.683693293372913,7.683693293372913
1492,SingleHouse,7.684527707772068,7.684527707772068
1480,SingleHouse,7.684582333033468,7.684582333033468
1504,SingleHouse,7.684300651077068,7.684300651077068
1509,SingleHouse,7.684824831888081,7.684824831888081
1516,SingleHouse,7.684678305590033,7.684678305590033
1521,SingleHouse,7.684536811161228,7.684536811161228
1533,SingleHouse,7.684216301591624,7.684216301591624
1449,SingleHouse,7.685527418493241,7.685527418493241
1445,Garage,7.6855018038223095,7.6855018038223095
1440,CollectiveHouse,7.685331673895382,7.685331673895382
1931,CommercialBuilding,7.683414498795532,7.683414498795532
1936,CommercialBuilding,7.683189519871555,7.683189519871555
1934,CommercialBuilding,7.683632953983182,7.683632953983182
1926,CommercialBuilding,7.68317778733208,7.68317778733208
1917,CommercialBuilding,7.683058418015911,7.683058418015911
1938,CommercialBuilding,7.681344183135389,7.681344183135389
1935,CommercialBuilding,7.687784622462817,7.687784622462817
1941,CommercialBuilding,7.687642192490472,7.687642192490472
1943,CommercialBuilding,7.684692222347622,7.684692222347622
1940,CommercialBuilding,7.684760278830758,7.684760278830758
1944,CommercialBuilding,7.686135437282051,7.686135437282051
1945,CommercialBuilding,7.683788715470091,7.683788715470091
1859,CommercialBuilding,7.683378878790053,7.683378878790053
1876,CommercialBuilding,7.6834469079696275,7.6834469079696275
1879,CommercialBuilding,7.683133920414415,7.683133920414415
